INDIKATOR_ID;INDIKATOR_NAME;INDICATOR_NAME_EN;EINHEIT_LANG (UNIT);QUELLE;BESCHREIBUNG;DESCRIPTION_EN
1645;61 Staatsstrassen (Bruttoertrag);61 state roads (gross revenue);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Fussgängerschutz an Staatsstrassen, Geh- und Radwege entlang den Staatstrassen, Lärmschutzmassnahmen und Lichtsignalanlagen bei Staatsstrassen. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from pedestrian protection on state roads, sidewalks and cycle paths along state roads, noise protection measures and traffic lights on state roads. The permanent resident population is used to calculate the per capita values.
1646;62 Gemeindestrassen (Bruttoertrag);62 municipal roads (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Brücken, Bussen für Übertretungen des Strassenverkehrsgesetzes, Dauerparkierung auf öffentlichem Grund, Durchleitungsentschädigungen (z.B. privatisierte Elektrizitätswerke), Gemeindestrassen, Gemeindewege, Hausnummerierung, Magazin für Strassendienst, öffentliche Beleuchtung, Parkhäuser, Parkplätze, Pauschalbeitrag Kanton, ruhender Verkehr und Werkhof. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from bridges, buses for violations of the Road Traffic Act, long-term parking on public property, transmission fees (e.g. privatized power plants), communal roads, communal roads, house numbering, magazine for road service, public lighting, multi-storey car parks, parking spaces, cantonal flat-rate contribution, stationary traffic and works yard. The permanent resident population is used to calculate the per capita values.
1647;65 Öffentlicher Verkehr (Bruttoertrag);65 public transport (gross revenue);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Bahnhofgebäude, Bundesbahnen, Bushaltestellen, Park + Ride, Postautokurse, Privatbahnen, Regionalverkehr, Sesselbahnen, unpersönliches Generalabonnement (UGA), Veloeinstellräume und -unterstände bei Bahnhöfen und Verkehrsbetriebe Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from station buildings, federal railways, bus stops, Park + Ride, PostBus courses, private railways, regional transport, chairlifts, impersonal general subscription (UGA), bicycle storage rooms and shelters at train stations and transport companies The permanent resident population is used to calculate the per capita values.
1648;66 Schifffahrt, Hafenanlagen (Bruttoertrag);66 Shipping, port facilities (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Hafenanlagen, Schifffahrtsbetriebe und Schiffstege. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from port facilities, shipping operations and jetties. The permanent resident population is used to calculate the per capita values.
1649;70 Wasserversorgung (Bruttoertrag);70 water supply (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus die Wasserversorgung Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from the water supply The permanent resident population is used to calculate the per capita values.
1650;71 Abwasserbeseitigung (Bruttoertrag);71 Wastewater disposal (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Abwasseranlagen, generelle Entwässerungsplanung (GEP), Gewässerschutz, Kanalisationen, Kläranlagen, Pumpwerke und Regenwasserbehandlung. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from sewage systems, general drainage planning (GEP), water protection, sewer systems, sewage treatment plants, pumping stations and rainwater treatment. The permanent resident population is used to calculate the per capita values.
1651;72 Abfallbeseitigung (Bruttoertrag);72 waste disposal (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Abfallbeseitigung, Ablagerungsplatz, Altglassammelstelle, Altmetallsammlung, Altpapiersammlung, Bauschuttdeponie, Container, Grünabfuhr, Kehrichtabfuhr, Kehrichtverbrennung, Kehrichtverwertung, Kompostierungsanlage und Multikomponentendeponie. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from waste disposal, disposal site, waste glass collection point, waste metal collection, waste paper collection, construction waste dump, containers, green waste disposal, waste disposal, waste incineration, waste recycling, composting plant and multi-component landfill. The permanent resident population is used to calculate the per capita values.
1652;73 Übriger Umweltschutz (Bruttoertrag);73 Other environmental protection (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Feuerungskontrolle, Hundeversäuberungsplätze, Lufthygiene, Medikamentenentsorgung, öffentliche Toiletten, Robidog, Sonder- und Giftabfälle, Tankkataster und Umweltschutzorganisationen. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from fire control, dog cleaning stations, air hygiene, drug disposal, public toilets, Robidog, hazardous and toxic waste, tank cadastre and environmental protection organizations. The permanent resident population is used to calculate the per capita values.
1653;74 Friedhof, Bestattungen (Bruttoertrag);74 cemetery, burials (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Aufbahrungshalle, Bestattungen, Friedhof, Friedhofgärtner und Kremationen. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from the cemetery, burials, cemetery, cemetery gardener and cremations. The permanent resident population is used to calculate the per capita values.
1654;75 Gewässerverbauungen (Bruttoertrag);75 water structures (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Bachverbauungen, Böschungssanierungen, Gewässer, Gewässerverbauungen und Kiessammler. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from brook barriers, embankment renovations, bodies of water, water barriers and gravel collectors. The permanent resident population is used to calculate the per capita values.
1655;76 Lawinenverbauungen (Bruttoertrag);76 avalanche barriers (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Lawinenverbauungen. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from avalanche barriers. The permanent resident population is used to calculate the per capita values.
1656;77 Raumplanung (Bruttoertrag);77 spatial planning (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Baugrundkataster, Entwicklungskonzepte, Gestaltungspläne, Grundwasserschutzzone, Landumlegung (Planung), materielle Enteignung, Nutzungsbeschränkungen, Ortsplanung, Raumplanung, Regionalplanung, Richtplanung, Schutzverordnung, Überbauungspläne, Verkehrsplanung und Zonenpläne. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from building land register, development concepts, design plans, groundwater protection zone, land reallocation (planning), material expropriation, usage restrictions, local planning, spatial planning, regional planning, structure planning, protection ordinance, building plans, traffic planning and zone plans. The permanent resident population is used to calculate the per capita values.
1657;78 Naturschutz (Bruttoertrag);78 nature conservation (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Abgeltung ökologischer Leistungen (GAöL), Biotope, Flächen zum ökologischen Ausgleich, Natur- und Landschaftsschutz, Naturschutzgebiete, Naturschutzorganisationen, Pflanzenschutzaufsicht und Schutzmassnahmen. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from compensation for ecological services (GAöL), biotopes, areas for ecological compensation, nature and landscape protection, nature conservation areas, nature conservation organizations, plant protection supervision and protective measures. The permanent resident population is used to calculate the per capita values.
1658;80 Landwirtschaft (Bruttoertrag);80 Agriculture (gross yield);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Ackerbaustelle, Alpsanierung, Betriebsverbesserungen, Betriebszählung, Bienenzucht, Bodenverbesserungen, Düngerberatung, Feuerbrandbekämpfung, Güterzusammenlegung, Hagelabwehr, Kadaverbeseitigung, landwirtschaftlichen Betriebshelferdienst, Meliorationen, Notschlachtlokal, Obstbaumzählung, Rebbau, Schädlingsbekämpfung, Schafräudebad, Schafzucht, Stallsanierungen, Stierenschau, Tierhaltung, Tierkörpersammelstelle, Tierseuchenbekämpfung, Tierseuchenkasse, Viehmärkte, Viehschau, Viehzählung, Weinbau, Ziegenzucht und Zuchtstierhaltung. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from arable farming, alpine remediation, business improvements, business census, beekeeping, soil improvement, fertilizer advice, fire-fighting, pooling of goods, hail prevention, carcass removal, agricultural company helper service, melioration, emergency slaughterhouse, fruit tree counting, growing of vines, pest control, sheep rearing, animal husbandry, bull rearing, sheep rearing area , Animal disease fund, cattle markets, cattle show, cattle counting, viticulture, goat breeding and breeding animal husbandry. The permanent resident population is used to calculate the per capita values.
1659;81 Forstwirtschaft (Bruttoertrag);81 Forestry (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Beförsterungskostenanteil, Forstwirtschaft, Gemeindewald, Revierbeförsterung, Steuern auf ausserkantonalen Waldungen, Waldbewirtschaftungswege und Waldstrassen. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from the share of forestry costs, forestry, community forest, area forestation, taxes on non-cantonal forests, forest management paths and forest roads. The permanent resident population is used to calculate the per capita values.
1660;82 Jagd, Fischerei, Tierschutz (Bruttoertrag);82 Hunting, fishing, animal welfare (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Fischerei, Jagd, Jagdpachtzinsen, Tierschutz, Tierschutzvereine und Wildschutzgebiete. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from fishing, hunting, hunting leases, animal welfare, animal welfare associations and wildlife sanctuaries. The permanent resident population is used to calculate the per capita values.
